run_accession,experiment_accession,sample_accession,study_accession,sample_alias,library_name,library_strategy,library_source,library_selection,library_layout,instrument_platform,instrument_model,read_count,base_count,fastq_ftp,fastq_md5,fastq_bytes,submitted_ftp,queried_accession,fastq_r1_ftp,fastq_r2_ftp,fastq_r1_https,fastq_r2_https,fastq_r1_md5,fastq_r2_md5,fastq_r1_bytes,fastq_r2_bytes,total_fastq_gb
SRR11094249,SRX7733069,SAMN14118426,PRJNA606979,GSM4317413,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,46842080,14146308160,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_2.fastq.gz,94f05ca45f5fc203e69972493cbe7bc1;4c301a30afd14572e9702179763c5e4c,2909757261;3102598787,,GSE145370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_2.fastq.gz,94f05ca45f5fc203e69972493cbe7bc1,4c301a30afd14572e9702179763c5e4c,2909757261.0,3102598787.0,6.01
SRR11094253,SRX7733072,SAMN14118423,PRJNA606979,GSM4317416,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,338068454,102096673108,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/053/SRR11094253/SRR11094253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/053/SRR11094253/SRR11094253_2.fastq.gz,d9dd37708af47925e3ddb815d0b49cb8;f35c72c7607f756e002737d986b604a7,18013481532;18537732414,,GSE145370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/053/SRR11094253/SRR11094253_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/053/SRR11094253/SRR11094253_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/053/SRR11094253/SRR11094253_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/053/SRR11094253/SRR11094253_2.fastq.gz,d9dd37708af47925e3ddb815d0b49cb8,f35c72c7607f756e002737d986b604a7,18013481532.0,18537732414.0,36.55
SRR11094251,SRX7733070,SAMN14118425,PRJNA606979,GSM4317414,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,350108172,105732667944,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/051/SRR11094251/SRR11094251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/051/SRR11094251/SRR11094251_2.fastq.gz,02b9eb1dd1dc04c4fbeaf20865f16a8b;5736bc872626db31086db81e8786ab09,23484900893;25588436675,,GSE145370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/051/SRR11094251/SRR11094251_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/051/SRR11094251/SRR11094251_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/051/SRR11094251/SRR11094251_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/051/SRR11094251/SRR11094251_2.fastq.gz,02b9eb1dd1dc04c4fbeaf20865f16a8b,5736bc872626db31086db81e8786ab09,23484900893.0,25588436675.0,49.07
SRR11094243,SRX7733066,SAMN14118429,PRJNA606979,GSM4317410,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,363010706,109629233212,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/043/SRR11094243/SRR11094243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/043/SRR11094243/SRR11094243_2.fastq.gz,e24e5d481ef763a79b1313b14ce3169b;52d6243a523cda6fca3f1c3989cd4d3d,23559095039;25763816964,,GSE145370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/043/SRR11094243/SRR11094243_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/043/SRR11094243/SRR11094243_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/043/SRR11094243/SRR11094243_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/043/SRR11094243/SRR11094243_2.fastq.gz,e24e5d481ef763a79b1313b14ce3169b,52d6243a523cda6fca3f1c3989cd4d3d,23559095039.0,25763816964.0,49.32
SRR11094258,SRX7733077,SAMN14118418,PRJNA606979,GSM4317421,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,365932847,110511719794,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/058/SRR11094258/SRR11094258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/058/SRR11094258/SRR11094258_2.fastq.gz,4d8e3060442dda22a37c8b282e4ad815;51baf4db61210a79b6bd766d2ccb8cc4,23933968904;26345692261,,GSE145370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/058/SRR11094258/SRR11094258_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/058/SRR11094258/SRR11094258_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/058/SRR11094258/SRR11094258_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/058/SRR11094258/SRR11094258_2.fastq.gz,4d8e3060442dda22a37c8b282e4ad815,51baf4db61210a79b6bd766d2ccb8cc4,23933968904.0,26345692261.0,50.28
SRR9879268,SRX6631826,SAMN12419347,PRJNA557841,GSM3995405,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,8898654,1779730800,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_2.fastq.gz,c07bbd6cd801c46338ee61daea271aae;bc9721cacb7f16e8dd1f1bfe84043f6d,515426283;520893544,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_2.fastq.gz,c07bbd6cd801c46338ee61daea271aae,bc9721cacb7f16e8dd1f1bfe84043f6d,515426283.0,520893544.0,1.04
SRR9879269,SRX6631827,SAMN12421201,PRJNA557841,GSM3995406,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,23810476,4762095200,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879269/SRR9879269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879269/SRR9879269_2.fastq.gz,08b51c17a4d8d481e59ddabaf3cdcace;49eafa4a14cbfe5be42f9d10c089c019,1192053964;1183599170,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879269/SRR9879269_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879269/SRR9879269_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879269/SRR9879269_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879269/SRR9879269_2.fastq.gz,08b51c17a4d8d481e59ddabaf3cdcace,49eafa4a14cbfe5be42f9d10c089c019,1192053964.0,1183599170.0,2.38
SRR9879284,SRX6631842,SAMN12421226,PRJNA557841,GSM3995421,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,20076858,4015371600,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9879284/SRR9879284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9879284/SRR9879284_2.fastq.gz,2f0b9657f46c57e2a670e2f08438c0d7;0b762c355f08aa4bd908a6f5ae893c51,1244652315;1296159222,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9879284/SRR9879284_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9879284/SRR9879284_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9879284/SRR9879284_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9879284/SRR9879284_2.fastq.gz,2f0b9657f46c57e2a670e2f08438c0d7,0b762c355f08aa4bd908a6f5ae893c51,1244652315.0,1296159222.0,2.54
SRR9879289,SRX6631847,SAMN12421221,PRJNA557841,GSM3995426,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,23459426,4691885200,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879289/SRR9879289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879289/SRR9879289_2.fastq.gz,a817609c89644300e8689b2101233483;153be49d00b3e26e9fbc6a3395a140ea,1259474659;1287178351,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879289/SRR9879289_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879289/SRR9879289_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879289/SRR9879289_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9879289/SRR9879289_2.fastq.gz,a817609c89644300e8689b2101233483,153be49d00b3e26e9fbc6a3395a140ea,1259474659.0,1287178351.0,2.55
SRR9879275,SRX6631833,SAMN12421233,PRJNA557841,GSM3995412,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,28898600,5779720000,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9879275/SRR9879275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9879275/SRR9879275_2.fastq.gz,9d8e60ee8e0d525c4dc718255634b055;3994db42de4ad6b63440cf48f10de736,1497207950;1525800881,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9879275/SRR9879275_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9879275/SRR9879275_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9879275/SRR9879275_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9879275/SRR9879275_2.fastq.gz,9d8e60ee8e0d525c4dc718255634b055,3994db42de4ad6b63440cf48f10de736,1497207950.0,1525800881.0,3.02
