run_accession,experiment_accession,sample_accession,study_accession,sample_alias,library_name,library_strategy,library_source,library_selection,library_layout,instrument_platform,instrument_model,read_count,base_count,fastq_ftp,fastq_md5,fastq_bytes,submitted_ftp,queried_accession,fastq_r1_ftp,fastq_r2_ftp,fastq_r1_https,fastq_r2_https,fastq_r1_md5,fastq_r2_md5,fastq_r1_bytes,fastq_r2_bytes,total_fastq_gb
SRR17491491,SRX13661779,SAMN24730007,PRJNA795502,GSM5778054,GSM5778054,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,50729883,15218964900,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17491491/SRR17491491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17491491/SRR17491491_2.fastq.gz,338079a6966f186eb54eca7ccd924f6d;812b16df54a013a14125bf8f145d6b38,3837694936;4245825738,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17491491/SRR17491491_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17491491/SRR17491491_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17491491/SRR17491491_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17491491/SRR17491491_2.fastq.gz,338079a6966f186eb54eca7ccd924f6d,812b16df54a013a14125bf8f145d6b38,3837694936.0,4245825738.0,8.08
SRR17491492,SRX13661778,SAMN24730008,PRJNA795502,GSM5778053,GSM5778053,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,45192789,13557836700,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17491492/SRR17491492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17491492/SRR17491492_2.fastq.gz,ed8c899f58ad39aa222d328f2e88b7cb;c03e16980121010e5c8617946c0e33b0,3704588769;3862251004,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17491492/SRR17491492_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17491492/SRR17491492_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17491492/SRR17491492_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17491492/SRR17491492_2.fastq.gz,ed8c899f58ad39aa222d328f2e88b7cb,c03e16980121010e5c8617946c0e33b0,3704588769.0,3862251004.0,7.57
SRR17491501,SRX13661768,SAMN24730018,PRJNA795502,GSM5778043,GSM5778043,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,47807172,14342151600,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/001/SRR17491501/SRR17491501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/001/SRR17491501/SRR17491501_2.fastq.gz,8a608ecf79e5c7fc3149177c448c823f;b664b627a095d4863edf888be8cf475d,3673355420;4021519591,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/001/SRR17491501/SRR17491501_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/001/SRR17491501/SRR17491501_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/001/SRR17491501/SRR17491501_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/001/SRR17491501/SRR17491501_2.fastq.gz,8a608ecf79e5c7fc3149177c448c823f,b664b627a095d4863edf888be8cf475d,3673355420.0,4021519591.0,7.69
SRR17491504,SRX13661769,SAMN24730017,PRJNA795502,GSM5778044,GSM5778044,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,44566506,13369951800,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/004/SRR17491504/SRR17491504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/004/SRR17491504/SRR17491504_2.fastq.gz,c2aa4cd3a1500e0101c0ec22f1638df6;4e5ece07aad767f33007a62078f61af9,3645806073;3780217204,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/004/SRR17491504/SRR17491504_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/004/SRR17491504/SRR17491504_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/004/SRR17491504/SRR17491504_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/004/SRR17491504/SRR17491504_2.fastq.gz,c2aa4cd3a1500e0101c0ec22f1638df6,4e5ece07aad767f33007a62078f61af9,3645806073.0,3780217204.0,7.43
SRR17491506,SRX13661764,SAMN24730022,PRJNA795502,GSM5778039,GSM5778039,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,23743105,7122931500,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR17491506/SRR17491506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR17491506/SRR17491506_2.fastq.gz,c8d7b78e402d76dd1e7ed460d33cf87f;93af44cf9a2b5ece4af6caad8facd601,1920540149;2008031620,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR17491506/SRR17491506_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR17491506/SRR17491506_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR17491506/SRR17491506_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR17491506/SRR17491506_2.fastq.gz,c8d7b78e402d76dd1e7ed460d33cf87f,93af44cf9a2b5ece4af6caad8facd601,1920540149.0,2008031620.0,3.93
SRR17491509,SRX13661761,SAMN24730025,PRJNA795502,GSM5778036,GSM5778036,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,25247683,7574304900,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/009/SRR17491509/SRR17491509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/009/SRR17491509/SRR17491509_2.fastq.gz,eb84260f789accbf2109245b4532d07b;537edb08dfc7d4a32502914cdfd09a30,2024061895;2086124724,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/009/SRR17491509/SRR17491509_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/009/SRR17491509/SRR17491509_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/009/SRR17491509/SRR17491509_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/009/SRR17491509/SRR17491509_2.fastq.gz,eb84260f789accbf2109245b4532d07b,537edb08dfc7d4a32502914cdfd09a30,2024061895.0,2086124724.0,4.11
SRR17491514,SRX13661756,SAMN24730030,PRJNA795502,GSM5778031,GSM5778031,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,22921307,6876392100,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/014/SRR17491514/SRR17491514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/014/SRR17491514/SRR17491514_2.fastq.gz,93d2983bced7f487cd536200af01ade0;d4e2c11a403cf629200183a99a5563b9,1712021867;1908930787,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/014/SRR17491514/SRR17491514_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/014/SRR17491514/SRR17491514_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/014/SRR17491514/SRR17491514_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/014/SRR17491514/SRR17491514_2.fastq.gz,93d2983bced7f487cd536200af01ade0,d4e2c11a403cf629200183a99a5563b9,1712021867.0,1908930787.0,3.62
SRR17491515,SRX13661755,SAMN24730031,PRJNA795502,GSM5778030,GSM5778030,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,23099799,6929939700,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/015/SRR17491515/SRR17491515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/015/SRR17491515/SRR17491515_2.fastq.gz,61bca5619d74353912c128a57fad63e4;7e63033f63d849eb894b8e7aaee3c63a,1859157200;1934068649,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/015/SRR17491515/SRR17491515_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/015/SRR17491515/SRR17491515_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/015/SRR17491515/SRR17491515_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/015/SRR17491515/SRR17491515_2.fastq.gz,61bca5619d74353912c128a57fad63e4,7e63033f63d849eb894b8e7aaee3c63a,1859157200.0,1934068649.0,3.79
SRR17491516,SRX13661754,SAMN24730032,PRJNA795502,GSM5778029,GSM5778029,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,23752802,7125840600,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/016/SRR17491516/SRR17491516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/016/SRR17491516/SRR17491516_2.fastq.gz,c30859cf6833c92b8db3e017020a778c;ae4778c26f9ee921b8b9110761b1e62a,1918255012;2003393096,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/016/SRR17491516/SRR17491516_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/016/SRR17491516/SRR17491516_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/016/SRR17491516/SRR17491516_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/016/SRR17491516/SRR17491516_2.fastq.gz,c30859cf6833c92b8db3e017020a778c,ae4778c26f9ee921b8b9110761b1e62a,1918255012.0,2003393096.0,3.92
SRR17491519,SRX13661751,SAMN24730035,PRJNA795502,GSM5778026,GSM5778026,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,24830971,7449291300,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/019/SRR17491519/SRR17491519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/019/SRR17491519/SRR17491519_2.fastq.gz,ee6defac3b7b138f4b3a02a3f13e11a1;8c40452620dbca04f3148b1de0a4f084,2021924352;2131123553,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/019/SRR17491519/SRR17491519_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/019/SRR17491519/SRR17491519_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/019/SRR17491519/SRR17491519_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/019/SRR17491519/SRR17491519_2.fastq.gz,ee6defac3b7b138f4b3a02a3f13e11a1,8c40452620dbca04f3148b1de0a4f084,2021924352.0,2131123553.0,4.15
