run_accession,experiment_accession,sample_accession,study_accession,sample_alias,library_name,library_strategy,library_source,library_selection,library_layout,instrument_platform,instrument_model,read_count,base_count,fastq_ftp,fastq_md5,fastq_bytes,submitted_ftp,queried_accession,fastq_r1_ftp,fastq_r2_ftp,fastq_r1_https,fastq_r2_https,fastq_r1_md5,fastq_r2_md5,fastq_r1_bytes,fastq_r2_bytes,total_fastq_gb
SRR17491533,SRX13661737,SAMN24730049,PRJNA795502,GSM5778012,GSM5778012,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,25886903,7766070900,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/033/SRR17491533/SRR17491533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/033/SRR17491533/SRR17491533_2.fastq.gz,dd8e208c745401b1e6c90124228acc79;e04dc09ee203b69e58a5416dcaae62cf,1959459974;2187190648,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/033/SRR17491533/SRR17491533_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/033/SRR17491533/SRR17491533_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/033/SRR17491533/SRR17491533_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/033/SRR17491533/SRR17491533_2.fastq.gz,dd8e208c745401b1e6c90124228acc79,e04dc09ee203b69e58a5416dcaae62cf,1959459974.0,2187190648.0,4.15
SRR9879267,SRX6631825,SAMN12419348,PRJNA557841,GSM3995404,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,59395604,11879120800,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9879267/SRR9879267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9879267/SRR9879267_2.fastq.gz,5f82e019a7c6e3073b58700c388b5f87;1127d7a4341ab8866ce48008b625e1a7,3117045232;3129565145,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9879267/SRR9879267_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9879267/SRR9879267_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9879267/SRR9879267_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9879267/SRR9879267_2.fastq.gz,5f82e019a7c6e3073b58700c388b5f87,1127d7a4341ab8866ce48008b625e1a7,3117045232.0,3129565145.0,6.25
SRR11094249,SRX7733069,SAMN14118426,PRJNA606979,GSM4317413,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina NovaSeq 6000,46842080,14146308160,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_2.fastq.gz,94f05ca45f5fc203e69972493cbe7bc1;4c301a30afd14572e9702179763c5e4c,2909757261;3102598787,,GSE145370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/049/SRR11094249/SRR11094249_2.fastq.gz,94f05ca45f5fc203e69972493cbe7bc1,4c301a30afd14572e9702179763c5e4c,2909757261.0,3102598787.0,6.01
SRR8526725,SRX5329536,SAMN10868673,PRJNA520852,GSM3589681,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,33354913,6737692426,ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8526725/SRR8526725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8526725/SRR8526725_2.fastq.gz,5932acef93e74e2942a244426680f156;b338c2b35819793a9555fe22b7e8c4f5,2497862791;2590047744,,GSE126044,ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8526725/SRR8526725_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8526725/SRR8526725_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8526725/SRR8526725_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8526725/SRR8526725_2.fastq.gz,5932acef93e74e2942a244426680f156,b338c2b35819793a9555fe22b7e8c4f5,2497862791.0,2590047744.0,5.09
SRR17491517,SRX13661753,SAMN24730033,PRJNA795502,GSM5778028,GSM5778028,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,28863945,8659183500,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/017/SRR17491517/SRR17491517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/017/SRR17491517/SRR17491517_2.fastq.gz,250feffeac8da70f720dd0a38ad787fd;b82dab811e00a7c4bd287312f509ce7e,2151649303;2405459631,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/017/SRR17491517/SRR17491517_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/017/SRR17491517/SRR17491517_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/017/SRR17491517/SRR17491517_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/017/SRR17491517/SRR17491517_2.fastq.gz,250feffeac8da70f720dd0a38ad787fd,b82dab811e00a7c4bd287312f509ce7e,2151649303.0,2405459631.0,4.56
SRR17491536,SRX13661733,SAMN24730053,PRJNA795502,GSM5778008,GSM5778008,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,54949782,16484934600,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/036/SRR17491536/SRR17491536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/036/SRR17491536/SRR17491536_2.fastq.gz,a88308e267a52e6c5b3b70557b9862e2;d5036fd6f241cd5515a2142e259a8ab0,4206583752;4892536483,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/036/SRR17491536/SRR17491536_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/036/SRR17491536/SRR17491536_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/036/SRR17491536/SRR17491536_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/036/SRR17491536/SRR17491536_2.fastq.gz,a88308e267a52e6c5b3b70557b9862e2,d5036fd6f241cd5515a2142e259a8ab0,4206583752.0,4892536483.0,9.1
SRR17491496,SRX13661777,SAMN24730009,PRJNA795502,GSM5778052,GSM5778052,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,56229819,16868945700,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17491496/SRR17491496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17491496/SRR17491496_2.fastq.gz,e52b3ac6490c23dde6cec00055a18661;538f651d8f11fd38cc87bca1aba27926,4278162405;4767982895,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17491496/SRR17491496_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17491496/SRR17491496_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17491496/SRR17491496_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17491496/SRR17491496_2.fastq.gz,e52b3ac6490c23dde6cec00055a18661,538f651d8f11fd38cc87bca1aba27926,4278162405.0,4767982895.0,9.05
SRR17491524,SRX13661746,SAMN24730040,PRJNA795502,GSM5778021,GSM5778021,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,30188046,9056413800,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/024/SRR17491524/SRR17491524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/024/SRR17491524/SRR17491524_2.fastq.gz,5875277d83bb123cb04ed2cc2b4e3a67;295045ab25df90b3cdfab6626c1ef965,2253392727;2519451926,,GSE193258,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/024/SRR17491524/SRR17491524_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/024/SRR17491524/SRR17491524_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/024/SRR17491524/SRR17491524_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/024/SRR17491524/SRR17491524_2.fastq.gz,5875277d83bb123cb04ed2cc2b4e3a67,295045ab25df90b3cdfab6626c1ef965,2253392727.0,2519451926.0,4.77
SRR9879273,SRX6631831,SAMN12421235,PRJNA557841,GSM3995410,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,32776729,6555345800,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9879273/SRR9879273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9879273/SRR9879273_2.fastq.gz,80dca7ebdb38f39796a3260bdf24da94;25b02ba700a0f82fcb608e5bc4c5b04f,1746988143;1794464181,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9879273/SRR9879273_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9879273/SRR9879273_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9879273/SRR9879273_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9879273/SRR9879273_2.fastq.gz,80dca7ebdb38f39796a3260bdf24da94,25b02ba700a0f82fcb608e5bc4c5b04f,1746988143.0,1794464181.0,3.54
SRR9879268,SRX6631826,SAMN12419347,PRJNA557841,GSM3995405,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,8898654,1779730800,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_2.fastq.gz,c07bbd6cd801c46338ee61daea271aae;bc9721cacb7f16e8dd1f1bfe84043f6d,515426283;520893544,,GSE135222,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9879268/SRR9879268_2.fastq.gz,c07bbd6cd801c46338ee61daea271aae,bc9721cacb7f16e8dd1f1bfe84043f6d,515426283.0,520893544.0,1.04
