Supplementary Table S2. Full diversity metrics dump.

sample_id     cohort      library_layout   instrument_model         n_clones   total_reads   shannon   simpson   inverse_simpson   pielou_evenness     gini      chao1   hill_q0   hill_q1   hill_q2   top1_frac   top10_frac   top100_frac   d50   clonality
------------  ----------  ---------------  ----------------------  ---------  ------------  --------  --------  ----------------  ----------------  -------  ---------  --------  --------  --------  ----------  -----------  ------------  ----  ----------
SRR8526721    GSE126044   PAIRED           Illumina HiSeq 2500            85           159    4.0414    0.9697           32.9609            0.9097   0.3939   207.2143        85   56.9037   32.9609      0.1006       0.4088        1.0000    16      0.0903
SRR8526722    GSE126044   PAIRED           Illumina HiSeq 2500            21            35    2.7714    0.9176           12.1287            0.9103   0.3320   157.0000        21   15.9813   12.1287      0.1429       0.6857        1.0000     4      0.0897
SRR8526726    GSE126044   PAIRED           Illumina HiSeq 2500            17            34    2.5629    0.8997            9.9655            0.9046   0.3737    26.0000        17   12.9729    9.9655      0.2059       0.7941        1.0000     4      0.0954
SRR8526727    GSE126044   PAIRED           Illumina HiSeq 2500            13            26    2.3076    0.8698            7.6818            0.8997   0.3609    17.2000        13   10.0507    7.6818      0.2692       0.8846        1.0000     3      0.1003
SRR8526723    GSE126044   PAIRED           Illumina HiSeq 2500             8            10    2.0253    0.8600            7.1429            0.9740   0.1500    13.0000         8    7.5786    7.1429      0.2000       1.0000        1.0000     3      0.0260
SRR8526725    GSE126044   PAIRED           Illumina HiSeq 2500             3             5    1.0549    0.6400            2.7778            0.9602   0.1333     3.0000         3    2.8717    2.7778      0.4000       1.0000        1.0000     2      0.0398
SRR9879275    GSE135222   PAIRED           Illumina HiSeq 2500           113           255    4.2097    0.9715           35.1297            0.8905   0.4554   212.0435       113   67.3364   35.1297      0.0902       0.4039        0.9490    18      0.1095
SRR9879269    GSE135222   PAIRED           Illumina HiSeq 2500            92           189    4.0717    0.9701           33.4153            0.9005   0.4300   344.0000        92   58.6581   33.4153      0.1058       0.4127        1.0000    16      0.0995
SRR9879273    GSE135222   PAIRED           Illumina HiSeq 2500            22            27    3.0197    0.9465           18.6923            0.9769   0.1566    60.2500        22   20.4859   18.6923      0.1111       0.5556        1.0000     9      0.0231
SRR9879280    GSE135222   PAIRED           Illumina HiSeq 2500            12            33    2.1352    0.8356            6.0838            0.8593   0.4318    14.5000        12    8.4591    6.0838      0.3333       0.9394        1.0000     3      0.1407
SRR9879268    GSE135222   PAIRED           Illumina HiSeq 2500             4             6    1.2425    0.6667            3.0000            0.8962   0.2500     7.0000         4    3.4641    3.0000      0.5000       1.0000        1.0000     1      0.1038
SRR11094249   GSE145370   PAIRED           Illumina NovaSeq 6000         526          6323    3.1830    0.7919            4.8059            0.5080   0.8601   775.9545       526   24.1182    4.8059      0.4395       0.7158        0.8855     2      0.4920
